Offense,Street,Date of Occurrence,Victim Age,Victim Race,Victim Gender,lat,lon
HIT AND RUN,WEAVER DAIRY ROAD/SUNRISE RD,2010/3/19 14:43,49,B,M,35.961769,-79.034564
HIT AND RUN,FRANKLIN @ CHURCH STS,2010/5/23 2:46,27,W,M,35.91225,-79.058142
VEHICLE CRASH,1000 HWY 15-501 S,2010/10/28 23:55,57,W,F,35.883454,-79.060775
CRASH INVOLVING SCHOOL BUS,WEAVER DAIRY RD.,2010/10/19 15:03,<Null>,<Null>,<Null>,35.961769,-79.034564
HIT AND RUN,136 PUREFOY RD,2010/12/19 17:22,<Null>,<Null>,<Null>,35.896782,-79.053974
BELATED HIT & RUN,NC 54 ,2011/1/16 18:47,<Null>,U,M,35.89692,-79.040896
TRAFFIC CRASH,N ESTES DR @ SOMERSET DR,2011/3/9 18:40,28,W,M,35.935191,-79.05074
TRAFFIC CRASH,704 KENSINGTON DR,2012/2/10 7:59,<Null>,<Null>,<Null>,35.939533,-79.048649
TRAFFIC CRASH INVESTIGATION,466 W FRANKLIN ST/N ROBERSON ST,2012/3/18 1:24,<Null>,<Null>,<Null>,35.910291,-79.063243
MOCK CRASH,1709 HIGH SCHOOL RD,2012/5/3 12:00,<Null>,<Null>,<Null>,35.946506,-79.076273
HIT & RUN,MARKET ST @ ABERDEEN DR,2012/7/16 20:57,34,W,M,35.880939,-79.06612
MOTOR VEHICLE CRASH,704 MARTIN LUTHER KING JR BLVD,2012/9/9 2:30,<Null>,<Null>,<Null>,35.921415,-79.055686
HIT AND RUN,203 E FRANKLIN ST,2013/1/12 0:54,26,W,M,35.914388,-79.052665
HIT AND RUN,WEAVER DAIRY@MLK,2013/2/5 20:31,20,B,M,35.963982,-79.058488
DAMAGE TO PROPERTY(VEHICLE CRASH),110 S ROBERSON ST/W FRANKLIN ST,2013/3/29 2:59,29,W,M,35.910252,-79.063263
HIT AND RUN,US 15@501,2013/5/2 17:24,42,W,M,35.861188,-79.081263
MOTOR VEHICLE CRASH,201 S ESTES DR,2013/7/27 15:29,<Null>,<Null>,<Null>,35.927577,-79.030125
VEHICLE CRASH,999 WEAVER DAIRY RD/KINGSTON DR,2013/10/29 17:28,<Null>,<Null>,<Null>,35.963921,-79.051913
BELATED CRASH INFORMATION,15-501 ,2013/12/5 21:51,<Null>,<Null>,<Null>,35.891758,-79.05861
HIT & RUN MOTOR VEHICLE CRASH,1810 FORDHAM BLVD,2014/3/8 2:30,22,B,M,35.945217,-79.009582
ASSIST OTHER AGENCIES WITH MOCK CRASH AT CARRBORO HIGH SCHOO,201 ROCK HAVEN RD,2014/3/21 8:20,<Null>,<Null>,<Null>,35.89331,-79.085406
BELATED CRASH INFORMATION,1301 FORDHAM BLVD/EPHESUS CHURCH RD,2014/4/2 9:45,56,W,F,35.936265,-79.023442
HIT & RUN,602 MARTIN LUTHER KING JR BLVD,2014/5/3 2:10,<Null>,<Null>,<Null>,35.917832,-79.056536
HIT AND RUN - PROPERTY DAMAGE,2516 HOMESTEAD RD,2014/6/14 16:19,77,U,F,35.951379,-79.064427
HIT AND RUN,1501 E FRANKLIN ST,2014/5/14 23:43,<Null>,<Null>,<Null>,35.929473,-79.034248
BELATED HIT AND RUN,1838 MARTIN LUTHER KING JR BLVD,2014/7/1 13:15,35,W,F,35.966378,-79.059449
HIT AND RUN,305 SUNSET DR,2014/7/4 10:14,24,W,M,35.91262,-79.066546
HIT/RUN LEAVE SCENE OF PROPERTY DAMAGE,EDWARDS ST,2014/10/3 22:56,20,W,F,35.902859,-79.065297
BELATED TRAFFIC CRASH,1200  RALEIGH RD,2014/8/21 9:00,<Null>,<Null>,<Null>,35.907743,-79.026208
HIT AND RUN; LEAVE THE SCENE OF A CRASH CAUSING SERIOUS INJ,FORDHAM BLVD @ E LAKEVIEW DR,2014/9/29 3:36,<Null>,W,M,35.893533,-79.056889
FATALITY CRASH INVESTIGATION,800 MARTIN LUTHER KING JR BLVD,2014/10/3 9:35,<Null>,W,F,35.925064,-79.054005
HIT AND RUN,1105 NC 54,2014/11/9 20:00,29,W,M,35.899589,-79.068424
